Intel 80386 Opcode*;;Custom Opcode;;;;HEX;Instruction;;Operand 1;;Operand Type;;Operand 2;;Operand Type;;Notes;;;;;;;;
;;0000;0011;0101;1001;0359;POP;;SP;;;;N/A;;N/A;;;;;;;;;;
0101;1101;0000;0011;0101;1010;035A;POP;;EBP;;;;N/A;;N/A;;;;;;;;;;
;;0000;0011;0101;1011;035B;POP;;BP;;;;N/A;;N/A;;;;;;;;;;
0101;1110;0000;0011;0101;1100;035C;POP;;ESI;;;;N/A;;N/A;;;;;;;;;;
;;0000;0011;0101;1101;035D;POP;;SI;;;;N/A;;N/A;;;;;;;;;;
0101;1111;0000;0011;0101;1110;035E;POP;;EDI;;;;N/A;;N/A;;;;;;;;;;
;;0000;0011;0101;1111;035F;POP;;DI;;;;N/A;;N/A;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
0110;0001;0000;0011;0110;0000;0360;POPA;;N/A;;N/A;;N/A;;N/A;;POP all general registers to stack;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
1000;1111;0000;0011;0111;0000;0370;POP;;address;;word;;N/A;;N/A;;POP into memory;;;;;;;;
;;0000;0011;0111;0001;0371;POP;;address;;double word;;N/A;;N/A;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
1001;1101;0000;0011;1000;0000;0380;POPF;;;;;;N/A;;N/A;;POP flag register;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
1000;1000;0000;0100;0000;0000;0400;MOV;;register;;byte;;general register;;;;;;;;;;;;
;;0000;0100;0000;0001;0401;MOV;;displacement;;byte;;general register;;;;address is in displacement;;;;;;;;
;;0000;0100;0000;0010;0402;MOV;;base reg;;byte;;general register;;;;address is in base register (general);;;;;;;;
;;0000;0100;0000;0011;0403;MOV;;base + displacement;;byte;;general register;;;;"offset is in displacement, base holds ""offset of offset""";;;;;;;;
;;0000;0100;0000;0100;0404;MOV;;(Index*Scale)+Disp;;byte;;general register;;;;offset is in displacement, Index register, scale of {1,2,4,8};;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
1000;1001;0000;0100;0001;0000;0410;MOV;;register;;word;;general register;;;;;;;;;;;;
;;0000;0100;0001;0001;0411;MOV;;displacement;;word;;general register;;;;address is in displacement;;;;;;;;
;;0000;0100;0001;0010;0412;MOV;;base reg;;word;;general register;;;;address is in base register (general);;;;;;;;
;;0000;0100;0001;0011;0413;MOV;;base + displacement;;word;;general register;;;;"offset is in displacement, base holds ""offset of offset""";;;;;;;;
;;0000;0100;0001;0100;0414;MOV;;(Index*Scale)+Disp;;word;;general register;;;;offset is in displacement, Index register, scale of {1,2,4,8};;;;;;;;
;;0000;0100;0001;1000;0418;MOV;;register;;double word;;general register;;;;;;;;;;;;
;;0000;0100;0001;1001;0419;MOV;;displacement;;double word;;general register;;;;address is in displacement;;;;;;;;
;;0000;0100;0001;1010;041A;MOV;;base reg;;double word;;general register;;;;address is in base register (general);;;;;;;;
;;0000;0100;0001;1011;041B;MOV;;base + displacement;;double word;;general register;;;;"offset is in displacement, base holds ""offset of offset""";;;;;;;;
;;0000;0100;0001;1100;041C;MOV;;(Index*Scale)+Disp;;double word;;general register;;;;offset is in displacement, Index register, scale of {1,2,4,8};;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
1000;1010;0000;0100;0010;0000;0420;MOV;;general register;;;;register;;byte;;;;;;;;;;
;;0000;0100;0010;0001;0421;MOV;;general register;;;;displacement;;byte;;address is in displacement;;;;;;;;
;;0000;0100;0010;0010;0422;MOV;;general register;;;;base reg;;byte;;address is in base register (general);;;;;;;;
;;0000;0100;0010;0011;0423;MOV;;general register;;;;base + displacement;;byte;;"offset is in displacement, base holds ""offset of offset""";;;;;;;;
;;0000;0100;0010;0100;0424;MOV;;general register;;;;(Index*Scale)+Disp;;byte;;offset is in displacement, Index register, scale of {1,2,4,8};;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
1000;1011;0000;0100;0011;0000;0430;MOV;;general register;;;;register;;word;;;;;;;;;;
;;0000;0100;0011;0001;0431;MOV;;general register;;;;displacement;;word;;address is in displacement;;;;;;;;
;;0000;0100;0011;0010;0432;MOV;;general register;;;;base reg;;word;;address is in base register (general);;;;;;;;
;;0000;0100;0011;0011;0433;MOV;;general register;;;;base + displacement;;word;;"offset is in displacement, base holds ""offset of offset""";;;;;;;;
;;0000;0100;0011;0100;0434;MOV;;general register;;;;(Index*Scale)+Disp;;word;;offset is in displacement, Index register, scale of {1,2,4,8};;;;;;;;
;;0000;0100;0011;1000;0438;MOV;;general register;;;;register;;double word;;;;;;;;;;
;;0000;0100;0011;1001;0439;MOV;;general register;;;;displacement;;double word;;address is in displacement;;;;;;;;
;;0000;0100;0011;1010;043A;MOV;;general register;;;;base reg;;double word;;address is in base register (general);;;;;;;;
;;0000;0100;0011;1011;043B;MOV;;general register;;;;base + displacement;;double word;;"offset is in displacement, base holds ""offset of offset""";;;;;;;;
;;0000;0100;0011;1100;043C;MOV;;general register;;;;(Index*Scale)+Disp;;double word;;offset is in displacement, Index register, scale of {1,2,4,8};;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
1000;1100;0000;0100;0100;0000;0440;MOV;;register;;word;;segment reg;;;;;;;;;;;;
;;0000;0100;0100;0001;0441;MOV;;displacement;;word;;segment reg;;;;address is in displacement;;;;;;;;
;;0000;0100;0100;0010;0442;MOV;;base reg;;word;;segment reg;;;;address is in base register (general);;;;;;;;
;;0000;0100;0100;0011;0443;MOV;;base + displacement;;word;;segment reg;;;;"offset is in displacement, base holds ""offset of offset""";;;;;;;;
;;0000;0100;0100;0100;0444;MOV;;(Index*Scale)+Disp;;word;;segment reg;;;;offset is in displacement, Index register, scale of {1,2,4,8};;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
1000;1110;0000;0100;0101;0000;0450;MOV;;segment reg;;;;register;;word;;;;;;;;;;
;;0000;0100;0101;0001;0451;MOV;;segment reg;;;;displacement;;word;;address is in displacement;;;;;;;;
;;0000;0100;0101;0010;0452;MOV;;segment reg;;;;base reg;;word;;address is in base register (general);;;;;;;;
;;0000;0100;0101;0011;0453;MOV;;segment reg;;;;base + displacement;;word;;"offset is in displacement, base holds ""offset of offset""";;;;;;;;
;;0000;0100;0101;0100;0454;MOV;;segment reg;;;;(Index*Scale)+Disp;;word;;offset is in displacement, Index register, scale of {1,2,4,8};;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
****;;;;;;;;;;;;;;;;;Skipped MOV seg:offset for now;;;;;;;;
****;;;;;;;;;;;;;;;;;Skipped MOVSB, MOVSW;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
1011;0000;0000;0100;0110;0000;0460;MOV;;AL;;;;Immediate;;byte;;Move Immediate byte into byte reg;;;;;;;;
1011;0001;0000;0100;0110;0001;0461;MOV;;CL;;;;Immediate;;byte;;;;;;;;;;
1011;0010;0000;0100;0110;0010;0462;MOV;;DL;;;;Immediate;;byte;;;;;;;;;;
1011;0011;0000;0100;0110;0011;0463;MOV;;BL;;;;Immediate;;byte;;;;;;;;;;
1011;0100;0000;0100;0110;0100;0464;MOV;;AH;;;;Immediate;;byte;;;;;;;;;;
1011;0101;0000;0100;0110;0101;0465;MOV;;CH;;;;Immediate;;byte;;;;;;;;;;
1011;0110;0000;0100;0110;0110;0466;MOV;;DH;;;;Immediate;;byte;;;;;;;;;;
1011;0111;0000;0100;0110;0111;0467;MOV;;BH;;;;Immediate;;byte;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
1011;1000;0000;0100;0111;0000;0470;MOV;;EAX;;;;Immediate;;double word;;MOV Immediate word / double-w into reg;;;;;;;;
;;0000;0100;0111;0001;0471;MOV;;AX;;;;Immediate;;word;;;;;;;;;;
1011;1001;0000;0100;0111;0010;0472;MOV;;ECX;;;;Immediate;;double word;;;;;;;;;;
;;0000;0100;0111;0011;0473;MOV;;CX;;;;Immediate;;word;;;;;;;;;;
1011;1010;0000;0100;0111;0100;0474;MOV;;EDX;;;;Immediate;;double word;;;;;;;;;;
;;0000;0100;0111;0101;0475;MOV;;DX;;;;Immediate;;word;;;;;;;;;;
